,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
4634,4/6/2020 6:31:11,Undergraduate,Czech Republic,Yes,Presentation with voiceover.,I agree,"In-class assessments/quizzes, Videos",Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,"I would like to see my professors trying to make this way of learning more active and motivational, not just gave us presentation. Bit its also because classes in our universities are little bit different. ",No. Its nice to have people with same interests around you. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4637,4/6/2020 6:31:16,Undergraduate,Brazil,Yes,blackboard,I agree,"In-class assessments/quizzes, Q&A with students' questions",Strongly Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,more engagement,in-person. i find myself with less distractions at a educational environment than at home,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4640,4/6/2020 6:31:26,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,more engagement rather than purely listening to pre-recorded lectures,"No, I much prefer in person classes as it feels a lot more connected to the real world. I feel that I allows community to be built which I think is really important to learning ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4641,4/6/2020 6:31:29,Undergraduate,United States,Yes,BigBlueButton,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,That every one of my classes meet online at the same time. So that it feels like more being in school rather than being unmotivated to do it.,"In-person classes, you get to have more personal interaction with the professors/classmates. It is also more in depth than online classes.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4643,4/6/2020 6:31:32,Undergraduate,Canada,Yes,BrightSpace,I agree,"In-class assessments/quizzes, Videos",Neutral,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Make them more exiting?,Sometimes they are better because the material is concise and clear. But for language classes it's difficult.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4649,4/6/2020 6:32:02,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,how professors engage with the students. as the classes are online there is no way to communicate live ,"no, find it harder to concentrate, less engaging ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4651,4/6/2020 6:32:11,High school,United States,Yes,Google Classroom/Zoom,I agree,"Videos, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,"Have one specific assignment each day, rather than a load of unnecessary work. It’s too much to handle, especially when you don’t have a teacher in your presence. ","No, I don’t. Personally, I’m a visual learner, so there has to be a person (such as a teacher) physically in front of me for me to understand a concept. I also don’t feel any motivation, because my phone is right at my fingertips and it’s really easy to get on it while I’m supposed to be learning. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4653,4/6/2020 6:32:17,High school,Slovakia,Yes,They send us assignments through web called Edupage and dome od my classes are through Zoom,I agree,"Actually, none od them. From some od them they only send us notes to learn from on our own, and from languages we have classes thorugg Zoom where they explain the exercises we would do normally in class",Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,"Engage students more and actually have all classes online. Educational system in Slovakia wasn't really prepared for this situation. Many teachers don't even know how to work with internet , so they just don't . Or some od them they just send you material and you have to learn by yourself. Which is sadly usually same in normal classes . But i think there is so much more potentional, because right know, this way is only discouraging students.","In-person classes, because the way our online classes are doesn't work .",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4654,4/6/2020 6:32:17,High school,Serbia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,More engaging i feel like the spontanuity of in school classes is lost sometimes,"I think in a way we are more productive and stay on topic becasuse the teacher just sends in the tasks, but the off topic things we talk about can be interesting and influence our interest in the subject. I have mixed feelings about which i like better.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4655,4/6/2020 6:32:22,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Make the classes shorter because it’s hard to concentrate at home for so long ,No because it’s harder to keep concentration when your alone it’s easier to keep working with others around you,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4656,4/6/2020 6:32:23,High school,Ireland,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Make them live,No. I miss having the face to face interaction with teachers and students,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4657,4/6/2020 6:32:24,High school,Brunei,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,I would like all my online class to be conducted through zoom instead self-studying (for subjects that conduct class with self-study) and also I would want the teachers to teach us during the same period blocks that the subject was to be taught.,"For now, I would prefer in-person class because it is much easier to catch the information and is also less distracting because there is a teacher supervising the whole lesson that will make you focus. And also less homework hehe",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4659,4/6/2020 6:32:35,Undergraduate,Ireland,Yes,Zoom,I agree,"Videos, Q&A with students' questions, Using share screen to go through slides and websites.",Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,That the lectures had a more thought out plan of the class because 3/4 of my lecturers jus sit there awkwardly. ,"No, I prefer having the environment of college to concentrate. But the concept is useful if you're out sick because lecturers record the class.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4660,4/6/2020 6:32:38,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,None,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Interactive Platform,In-person classes - reminds me of the reason I am there + less distraction,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4663,4/6/2020 6:32:40,Undergraduate,Qatar,Yes,Zoom,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Force everyone to during their cameras on ,"NO, I miss the Uni environment ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4664,4/6/2020 6:32:43,Undergraduate,Canada,Yes,Virtual class room on Brightspace ,I agree,"Videos, Q&A with students' questions",Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,I wish we had profs with better training on how to use the online programs so we didn’t spend half the time just waiting for them to figure it out and I also wish we had more engagement cause it’s usually just someone talking at us. ,I the comfort of online classes (in my pjs with a coffee) but I find my motivation is non existant to long on when I could just skip. Especially since we aren’t expected to be engaged. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4671,4/6/2020 6:33:49,High school,United States,Yes,Google Classroom,I agree,Videos,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,My classes are asynchronous so we just do the work the teacher posts I would like it if we were actually engaged/ as closed as possible to an actual classroom ,"I prefer in person, my online classes are if you took out all the good parts of school and only left the bad parts. There is no interaction with other people as there are no live classes and we basically just do homework all day. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4672,4/6/2020 6:33:50,High school,Indonesia,Yes,Jakarta study website called elearning,I agree,In-class assessments/quizzes,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,The online classes. Had been conducted for more than 3 weeks but all the teachers only gave us an assigment and task and sometimes i don’t even had time to study the material,"Yes, i think i can learn better in physical class",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4675,4/6/2020 6:34:09,High school,Spain,"Yes, but just some specifc subjects",Google Teams,I agree,"In-class assessments/quizzes, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,"I would make the classes more dynamic and increase the participation of the students, even thought that I understand the possible problems that would supose to the teacher, due to some technical issues, etc ","I absolutly prefer in person-classes, basing my opinion on my experience. Personally, even thought I try, I don't find it as easy to concentre as in the presencial clases. But that's influenced too by the way my profesors impart the clases online versus how they do it in person. In general, I think that online clases can be really effective due to the flexibility they offer, but only if they are well organized. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4676,4/6/2020 6:34:10,Undergraduate,Canada,Yes,"Zoom, Blackboard Collab",I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,"It wouldn't be so much the way the classes are designed but the environment we are in. Expectation of doing well in this environment makes the already stressful situation even more stressful. Design of the online classes themselves is fine, I just wish this wasn't my first introduction to them.","I do not prefer online classes because I cannot go to campus, see my friends, engage in extracirculars, meet up with friends between my classes for lunch or go to events hosted by the school or society/club when the school is entirely online.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4679,4/6/2020 6:34:15,High school,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos",Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Them not speaking for the whole lesson as it gets very boring ,I prefer in person classes as I feel more engaged ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4680,4/6/2020 6:34:31,High school,Ireland,Yes,Google Classroom,I agree,"In-class assessments/quizzes, Videos",Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,That they would be live videos/lectures and not just posts on google classroom of assignments. ,"Definitely not, it’s much harder to be motivated and to concentrate with online classes. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4682,4/6/2020 6:34:34,Undergraduate,Denmark,Yes,Canvas and bigbluebutton ,I agree,"Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,"My teacher don't know how to really do classes online, and often we do way more work then we else would do. The worst is the sound from the platforms, there I no noise filter, so we often lose focus do to that, because who wants to listen to a heavy noise background doing chemistry lesion. ","In-person for sure, the way person interact with each other is just so different in person, and you can't hide as you can online behind a screen (we don't have or Webcam on or something like that) . The process of being with other people as you learn is just so important, learning is a part of something social often, to see other people and their faces to understand the whole communication, and just learn as a group just in my opinion works best in-person. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4683,4/6/2020 6:34:35,Undergraduate,France,Yes,Google Teams,I agree,"In-class assessments/quizzes, Debates",Neutral,Disagree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,"I think we have more time at home and we could use that time for learning so much different things on supports like documentaries, books, videos. And then share about all these things we have learnt with others in class. ",I think we should have both. In person classes can be great to entertain ourself for a language or to understand a formula in mathematics. However online classes allow us to have more free time which is very beneficial i think. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4685,4/6/2020 6:34:36,High school,United Kingdom,Optional classes to follow on with the work,Google classroom ,I agree,"In-class assessments/quizzes, Explanation using Diagrams",Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,More engaging with the students ,No because you don’t get the personal discussion and group activities,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4687,4/6/2020 6:34:40,Undergraduate,United Kingdom,Yes,Recorded lectures and canvas conferences for seminars ,I agree,"Videos, Explanation using Diagrams, Asking you to apply class material to a new context",Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,I would prefer lectures to be in the style of conferences as well as being recorded to allow people to ask questions rather than having to wait for an email response at a later date ,Online classes - lectures are recorded so I can work at my own pace (I get very stressed during in-person classes as I can’t keep up and I end up wasting time attending the class because I haven’t understood any of the concepts) ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4688,4/6/2020 6:34:41,High school,Ireland,Only one class out of 7 ,Zoom,I agree,"Videos, Explanation using Diagrams",Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,I would like the teacher to engage us more . It’s feels like she is just rushing through it to get it done and then we have to do whole chapters on our own. The classes are 40 mins in schools and 20 mins now .,In person. It’s way more engaging . You get more done and every teacher is trained to do it in person not online . 6 out of my 7 teachers don’t bother with it and I’m falling behind in those subjects .,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4689,4/6/2020 6:34:44,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Asking students to explain concepts to the class",Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,More interactive ,I prefer in person as only one of my seminars are using zoom the rest are either recorded lectures or discussion boards,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4690,4/6/2020 6:34:44,Undergraduate,United Kingdom,Yes,Microsoft teams,I agree,"Videos, Small group activities where you solve a problem together, Q&A with students' questions",Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,More quizzes or fun activities to do then re group to complete go over task instead of just stating things as people won’t do it or will but will never know.,Prefer in person as it’s more engaging and easier to communicate and ask questions I feel very distracted with online classes at home.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4691,4/6/2020 6:34:52,Undergraduate,Chile,Yes,Zoom,I agree,They just talk for an hour and a half,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,"More engagement with students, make them being interested on what the proffesor is saying","Hell no, in-person classes are way better, because your are actually there, interacting with the rest of the students and with the professor. Also, it takes more effort to go to uni vs going downstairs with your computer, so you are already more engaged",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4694,4/6/2020 6:34:55,Postgraduate,United States,Yes,Moodle & E-mail,I agree,"Professors aren’t giving us classes. They just send assignments and readings through e-mail or using Moodle, and that’s it.",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,I wish the professors would put more effort into giving actual classes and not just sending assignments without any discussion. I’m not learning anything. It’s just constant stress and hoping I’m doing things right.,"I prefer in-person classes because I am more motivated to study in a classroom environment. It also helps me establish a routine. It also helps me concentrate more during lectures, and I feel more comfortable when asking a professor a question face-to-face.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4696,4/6/2020 6:34:58,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Disagree,Agree,Disagree,Strongly Disagree,More small group activities/worksheets to test learning,"Yes, more time to pause lecture, go back and replay. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4698,4/6/2020 6:35:11,Undergraduate,Australia,Yes,Blackboard collaborate / Microsoft Teams / Recorded lectures ,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context, Online/ at home practicals for Biology classes/ independent learning and group work with checkins with teacher/ recorded ppts for presentations",Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,"I would make the learning more focussed and have more communication with students ahead of time. For example, one of my tutors cancelled almost all of our tutorials with little communication and now we are left confused about whether or not we have to attend each week. Grading requirements have also changed as a result, and only one of my subjects has done a good job in applying this to the context of their subject. ","Yes and no. It’s my first term of university so it was a great way to ease into uni subjects and get through some of the drier compulsory units. Moreover, I absolutely love being able to ask questions so easily and find that I’m much less nervous to speak up and ask questions making class so much more engaging. However, I’ve found it hard to manage my time as some classes have prerecorded lectures which we now must study by ourselves. I’m also finding it quite isolating and out-of-body in a way to be stuck in this continuous present is where I’m always at home (deep whoops haha). Overall though, I’m embracing the experience and would say I prefer online classes as a whole. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4699,4/6/2020 6:35:16,Graduate,Switzerland,Yes,Zoom and recorded lectures,I agree,"Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,The interaction between students and teachers is not encouraged and I would like some online quizzes. That way the teachers would also get a feeling of how well the students understand the topic or where the problems might be. Especially pre-recorded lectures lack the possibility of interaction. ,"No, in-person classes are still my go-to. For some lectures online classes might be well suited, however for exercise groups I still think that in-person classes offer more opportunities, like quickly asking a friend if something was not understood without bothering everyone in the class.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4701,4/6/2020 6:35:20,High school,United States,Yes,"assigned work, no virtual learning",I agree,"Videos, Explanation using Diagrams",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,virtual learning via zoom,"no, i don’t feel productive at home and this is exacerbated by the fact that i am not held accountable since i do not see the teacher ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4702,4/6/2020 6:35:25,Undergraduate,Croatia,Yes,Zoom,I agree,"Videos, Explanation using Diagrams",Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,They give us too much assignments that we cannot manage to do on time and it is causing us so much stress. I think we should have more debates and fun procjects so we can lear effectivly rather than just preparing for an exam and learning so much unnecessary informations that we forget after the exam. ,I like online classes because I don't lose time going to college but I think it could be done better. On the other hand I like in-person classes because I'm not ashamed to ask questions which I never do when we have online classes. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4703,4/6/2020 6:35:29,Undergraduate,Iraq,Yes,Google Teams,I agree,"Videos, Asking students to explain concepts to the class, Q&A with students' questions",Neutral,Neutral,Disagree,Agree,Agree,Disagree,Disagree,"We need more communication I guess, our teacher mostly don't use audio or video explanation. They only use pdf's and ask some questions in the comments and we answer them.","No, I don't
Because in in person classes you are present with the teacher and other students and the teacher can use many ways to deliver the matriel. In online classes there are many proplems like how strong is internet connection or that some student copy answers from goole and get full marks.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4705,4/6/2020 6:35:44,Undergraduate,United States,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,I’m content with my online classes. I can’t think of anything to change.,I enjoy online class because I don’t have to physically go to class and instead I can hang out at home with my cats. I also enjoy the fact that I can hide behind my computer screen and have my camera turned off. I like the idea that no one can see me.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4707,4/6/2020 6:35:49,High school,Spain,Yes,Google Hangouts ,I agree,"Videos, Asking students to explain concepts to the class, Q&A with students' questions",Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,More engagement ,No. In person classes are a lot easier and the student is able to understand more (by asking questions etc) ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4708,4/6/2020 6:35:50,Undergraduate,United States,Yes,Zoom,I agree,Videos,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,"The entire system needs to be better. At least at my university, all of my classes feel very thrown together","No. I genuinely like getting out and going to a class. I feel like I learn more when I’m sitting in an engaging environment. Plus, my home life is not ideal, so taking classes while being home can be frustrating",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4709,4/6/2020 6:36:03,High school,Jamaica,Some of them,Zoom,I agree,"In-class assessments/quizzes, Small group activities where you solve a problem together, Explanation using Diagrams",Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Make them pre-recorded sessions instead as it’s hard to keep up with what is being taught in an uncontrolled environment as opposed to in school. ,No because it is takes longer to get things done and is therefore frustrating. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4710,4/6/2020 6:35:58,High school,Switzerland,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Debates",Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Make smaller groups on Zoom not the whole class in one video conference ,"No, because I have a hard time participating in class when you just have to speak ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4711,4/6/2020 6:36:06,Undergraduate,New Zealand,Yes,"Zoom for tutorials, recorded lectures for content",I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Neutral,"Scheduled lecture access, to motivate me to watch them instead of letting them build up.","I prefer being able to pause and rewind the online lecture, but find working at home very demotivating, I need the routine of going into uni",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4714,4/6/2020 6:36:18,Undergraduate,Australia,Yes,Zoom,I agree,"Videos, Workbooks for us to complete - can ask questions during Zoom sessions!",Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,More interaction and engagement with lecturer! I understand this is difficult to achieve considering we have 200+ students in our cohort,No! I love humans and feel and stay more motivated when working with and alongside others :) also don’t like to stare at my laptop all day long ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4715,4/6/2020 6:36:20,Undergraduate,United Kingdom,Yes,"My university is using a mix of Zoom and recorded lectures, and discussion forums depending on the subject ",I agree,"Videos, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Agree,"I much prefer Zoom, and some of my teachers are only using recorded lectures or discussion forums, which don’t provide enough interaction between the teacher and the student, and no interactions between the students, which are so valuable especially in subjects like philosophy. Because of that, I’d prefer for all my classes to take place on Zoom. ","I definitely prefer in-person classes. I enjoy being able to go to a space that’s strictly designed for learning, and being able to see everyone there - it’s a social experience too. Actually leaving my flat and going to class motivates me and helps me focus better, it’s much better for my depression and mental health overall. You can interact with everyone way better, have discussions in groups and then feed them back to the whole class, and it’s harder to do it online. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4716,4/6/2020 6:36:55,Undergraduate,United States,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,I wish more of my professors held a live zoom lecture at regular class time instead of a pre-recorded lesson so I wouldn’t be tempted to skip. ,I do not prefer online classes because they feel optional for some reason when they’re clearly not. I’ve lost a lot of motivation because it’s difficult for me to create a work environment for myself at home. It also becomes a struggle when I don’t have my friends and classmates as study buddies to work with me and motivate me. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4719,4/6/2020 6:36:51,Graduate,India,Yes,Zoom,I agree,"In-class assessments/quizzes, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,I would change the video call facility to be optional as people may not want to disclose their private homes and may live in congested quarters ,No. In person classes cannot be completely replaced by online classes because of the physical connection and ease of discussion ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4720,4/6/2020 6:36:58,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams",Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,I would prefer to do pre-reading before my lecture and then the lecture material helps to discuss and expand on that information. It will motivate people to do extra reading and it will be more engaging. ,No. I like to feel a part of the university by going to lectures in the building and having opportunity to ask questions ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4721,4/6/2020 6:37:01,Undergraduate,Netherlands,Yes,Google Teams,I agree,"Explanation using Diagrams, Q&A with students' questions",Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,More interaction because it feels more like constant lectures instead of having workshops,"No, because I don't like asking questions cause I'm scared the mic doesn't work or something. And we're not required to turn on the camera so I feel less obligated to pay attention.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4722,4/6/2020 6:37:18,Undergraduate,Switzerland,Yes,"zoom, recorded lectures",I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,more interaction,online as I prefer being at home and you can create your own schedule,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4723,4/6/2020 6:37:18,Undergraduate,Greece,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,To record every lesson after online teaching,I prefer in person classes because I understand better the lesson,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4724,4/6/2020 6:37:19,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,More correspondence before classes. Many students including myself are often left confused or not notified of when classes will be taking place.,Classes in person are much better. They are more engaging and are more practical as it encourages students to attend and take part whilst online classes can be a bit demotivating when sat in bed/at home etc. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4725,4/6/2020 6:37:22,Postgraduate,United Kingdom,Yes,"Software called Collaborate; lectures are recorded, and then workshops (tutorials) are held on Collaborate as a Q&A session",I agree,"Explanation using Diagrams, Q&A with students' questions",Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,"Include interactive tasks, as we don't have a way of doing that, so I feel like I don't get to talk around the subject as much","No, I feel like online classes are more formal, and there's less opportunity to discuss ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4726,4/6/2020 6:37:23,Undergraduate,Pakistan,Yes,Zoom,I agree,Explanation using Diagrams,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,I personally believe teacher over here aren’t comfortable with technology and it automatically gets hard for us too,Yes I do because covid’s situation made us realise that we weren’t prepared for god forbid any situation like this. Secondly we do lack in this and need to improve it.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4728,4/6/2020 6:37:33,Undergraduate,Australia,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,More interaction for students to ask questions and discuss,"In person, because classes are more engaging, you can interact and learn with/from your cohort",1,1,1,1,1,1,1,1,1,1,1,1,1,1
